| STT | Bộ thủ | Pinyin | Tên gọi VN | Ý nghĩa                   | Số nét |
| --- | ------ | ------ | ---------- | ------------------------- | ------ |
| 1   | 一      | yī     | NHẤT       | Số một                    | 1      |
| 2   | 丨      | gǔn    | CỔN        | Nét sổ (đường thẳng đứng) | 1      |
| 3   | 丶      | zhǔ    | CHỦ        | Dấu chấm, điểm            | 1      |
| 4   | 丿      | piě    | PHIỆT      | Nét phẩy (xiên trái)      | 1      |
| 5   | 乙      | yǐ     | ẤT         | Thiên can thứ 2           | 1      |
| 6   | 亅      | jué    | QUYẾT      | Nét sổ có móc             | 1      |
| STT | Bộ thủ | Pinyin | Tên gọi VN | Ý nghĩa            | Số nét |
| --- | ------ | ------ | ---------- | ------------------ | ------ |
| 7   | 二      | èr     | NHỊ        | Số hai             | 2      |
| 8   | 亠      | tóu    | ĐẦU        | Đầu, nét chấm trên | 2      |
| 9   | 人      | rén    | NHÂN       | Người              | 2      |
| 10  | 儿      | ér     | NHI        | Người (hình chân)  | 2      |
| 11  | 入      | rù     | NHẬP       | Đi vào             | 2      |
| 12  | 八      | bā     | BÁT        | Số tám             | 2      |
| 13  | 冂      | jiōng  | QUYNH      | Vùng xa, biên giới | 2      |
| 14  | 冖      | mì     | MỊCH       | Khăn trùm, che phủ | 2      |
| 15  | 冫      | bīng   | BĂNG       | Nước đá            | 2      |
| 16  | 几      | jī     | KỶ         | Bàn nhỏ            | 2      |
| 17  | 凵      | kǎn    | KHẢM       | Há miệng           | 2      |
| 18  | 刀      | dāo    | ĐAO        | Con dao            | 2      |
| 19  | 力      | lì     | LỰC        | Sức mạnh           | 2      |
| 20  | 勹      | bāo    | BAO        | Bao bọc            | 2      |
| 21  | 匕      | bǐ     | CHỦY       | Cái thìa           | 2      |
| 22  | 匚      | fāng   | PHƯƠNG     | Hộp, tủ            | 2      |
| 23  | 匸      | xì     | HỆ         | Che đậy            | 2      |
| 24  | 十      | shí    | THẬP       | Số mười            | 2      |
| 25  | 卜      | bǔ     | BỐC        | Xem bói            | 2      |
| 26  | 卩      | jié    | TIẾT       | Đốt tre            | 2      |
| 27  | 厂      | hàn    | HÁN        | Vách núi           | 2      |
| 28  | 厶      | sī     | TƯ         | Riêng tư           | 2      |
| 29  | 又      | yòu    | HỰU        | Lại nữa            | 2      |
| STT | Bộ thủ | Pinyin | Tên gọi VN | Ý nghĩa          | Số nét |
| --- | ------ | ------ | ---------- | ---------------- | ------ |
| 30  | 口      | kǒu    | KHẨU       | Miệng            | 3      |
| 31  | 囗      | wéi    | VI         | Bao quanh        | 3      |
| 32  | 土      | tǔ     | THỔ        | Đất              | 3      |
| 33  | 士      | shì    | SĨ         | Kẻ sĩ            | 3      |
| 34  | 夂      | zhǐ    | TRĨ        | Đi chậm, đến sau | 3      |
| 35  | 夊      | suī    | TUY        | Đi chậm          | 3      |
| 36  | 夕      | xī     | TỊCH       | Buổi tối         | 3      |
| 37  | 大      | dà     | ĐẠI        | To lớn           | 3      |
| 38  | 女      | nǚ     | NỮ         | Phụ nữ           | 3      |
| 39  | 子      | zǐ     | TỬ         | Con cái          | 3      |
| 40  | 宀      | mián   | MIÊN       | Mái nhà          | 3      |
| 41  | 寸      | cùn    | THỐN       | Đơn vị đo        | 3      |
| 42  | 小      | xiǎo   | TIỂU       | Nhỏ bé           | 3      |
| 43  | 尢      | yóu    | UÔNG       | Yếu, què         | 3      |
| 44  | 尸      | shī    | THI        | Xác chết         | 3      |
| 45  | 屮      | chè    | TRIỆT      | Mầm non          | 3      |
| 46  | 山      | shān   | SƠN        | Núi              | 3      |
| 47  | 川      | chuān  | XUYÊN      | Sông             | 3      |
| 48  | 工      | gōng   | CÔNG       | Công việc        | 3      |
| 49  | 己      | jǐ     | KỶ         | Bản thân         | 3      |
| 50  | 巾      | jīn    | CÂN        | Khăn             | 3      |
| 51  | 干      | gān    | CAN        | Can (thiên can)  | 3      |
| 52  | 幺      | yāo    | YÊU        | Nhỏ, mảnh        | 3      |
| 53  | 广      | yǎn    | NGHIỄM     | Mái nhà, che     | 3      |
| 54  | 廴      | yǐn    | DẪN        | Bước dài         | 3      |
| 55  | 廾      | gǒng   | CỦNG       | Chắp tay         | 3      |
| 56  | 弋      | yì     | DẶC        | Bắn, chiếm       | 3      |
| 57  | 弓      | gōng   | CUNG       | Cái cung         | 3      |
| 58  | 彐      | jì     | KỆ         | Đầu con nhím     | 3      |
| 59  | 彡      | shān   | SAM        | Lông tóc         | 3      |
| 60  | 彳      | chì    | XÍCH       | Bước chân trái   | 3      |
| STT | Bộ thủ | Pinyin | Tên gọi VN | Ý nghĩa        | Số nét |
| --- | ------ | ------ | ---------- | -------------- | ------ |
| 61  | 心      | xīn    | TÂM        | Tim, tâm trí   | 4      |
| 62  | 戈      | gē     | QUA        | Binh khí dài   | 4      |
| 63  | 户      | hù     | HỘ         | Cửa một cánh   | 4      |
| 64  | 手      | shǒu   | THỦ        | Tay            | 4      |
| 65  | 支      | zhī    | CHI        | Cành nhánh     | 4      |
| 66  | 攴 (攵)  | pū     | PHỘC       | Đánh nhẹ       | 4      |
| 67  | 文      | wén    | VĂN        | Văn chương     | 4      |
| 68  | 斗      | dǒu    | ĐẨU        | Cái đấu (đong) | 4      |
| 69  | 斤      | jīn    | CÂN        | Rìu, búa       | 4      |
| 70  | 方      | fāng   | PHƯƠNG     | Vuông          | 4      |
| 71  | 无      | wú     | VÔ         | Không          | 4      |
| 72  | 日      | rì     | NHẬT       | Mặt trời       | 4      |
| 73  | 曰      | yuē    | VIẾT       | Nói rằng       | 4      |
| 74  | 月      | yuè    | NGUYỆT     | Mặt trăng      | 4      |
| 75  | 木      | mù     | MỘC        | Cây, gỗ        | 4      |
| 76  | 欠      | qiàn   | KHIẾM      | Thiếu          | 4      |
| 77  | 止      | zhǐ    | CHỈ        | Dừng lại       | 4      |
| 78  | 歹      | dǎi    | ĐÃI        | Xấu, chết      | 4      |
| 79  | 殳      | shū    | THÙ        | Binh khí       | 4      |
| 80  | 毋      | wú     | VÔ         | Chớ, đừng      | 4      |
| 81  | 比      | bǐ     | TỶ         | So sánh        | 4      |
| 82  | 毛      | máo    | MAO        | Lông           | 4      |
| 83  | 氏      | shì    | THỊ        | Họ             | 4      |
| 84  | 气      | qì     | KHÍ        | Hơi            | 4      |
| 85  | 水      | shuǐ   | THỦY       | Nước           | 4      |
| 86  | 火      | huǒ    | HỎA        | Lửa            | 4      |
